,ZIP_CODE
638,02145
639,02148
640,02149
641,02150
642,02151
643,02152
644,02153
645,02155
646,02156
647,02163
648,02169
649,02170
650,02171
651,02176
652,02180
653,02184
654,02185
655,02186
656,02187
657,02188
658,02189
659,02190
660,02191
661,02196
662,02199
663,02201
664,02203
665,02204
666,02205
667,02206
668,02210
669,02211
670,02212
671,02215
672,02217
673,02222
674,02238
675,02241
676,02266
677,02269
678,02283
679,02284
680,02293
681,02297
682,02298
683,02301
684,02302
685,02303
686,02304
687,02305
688,02322
689,02324
690,02325
691,02327
692,02330
693,02331
694,02332
695,02333
696,02334
697,02337
698,02338
699,02339
700,02341
701,02343
702,02344
703,02345
704,02346
705,02347
706,02348
707,02349
708,02350
709,02351
710,02355
711,02356
712,02357
713,02358
714,02359
715,02360
716,02361
717,02362
718,02364
719,02366
720,02367
721,02368
722,02370
723,02375
724,02379
725,02381
726,02382
727,02420
728,02421
729,02445
730,02446
731,02447
732,02451
733,02452
734,02453
735,02454
736,02455
737,02456
738,02457
739,02458
740,02459
741,02460
742,02461
743,02462
744,02464
745,02465
746,02466
747,02467
748,02468
749,02471
750,02472
751,02474
752,02475
753,02476
754,02477
755,02478
756,02479
757,02481
758,02482
759,02492
760,02493
761,02494
762,02495
763,02532
764,02534
765,02535
766,02536
767,02537
768,02538
769,02539
770,02540
771,02541
772,02542
773,02543
774,02552
775,02553
776,02554
777,02556
778,02557
779,02558
780,02559
781,02561
782,02562
783,02563
784,02564
785,02568
786,02571
787,02574
788,02575
789,02576
790,02584
791,02601
792,02630
793,02631
794,02632
795,02633
796,02634
797,02635
798,02637
799,02638
800,02639
801,02641
802,02642
803,02643
804,02644
805,02645
806,02646
807,02647
808,02648
809,02649
810,02650
811,02651
812,02652
813,02653
814,02655
815,02657
816,02659
817,02660
818,02661
819,02662
820,02663
821,02664
822,02666
823,02667
824,02668
825,02669
826,02670
827,02671
828,02672
829,02673
830,02675
831,02702
832,02703
833,02712
834,02713
835,02714
836,02715
837,02717
838,02718
839,02719
840,02720
841,02721
842,02722
843,02723
844,02724
845,02725
846,02726
847,02738
848,02739
849,02740
850,02741
851,02742
852,02743
853,02744
854,02745
855,02746
856,02747
857,02748
858,02760
859,02761
860,02762
861,02763
862,02764
863,02766
864,02767
865,02768
866,02769
867,02770
868,02771
869,02777
870,02779
871,02780
872,02790
873,02791
874,02801
875,02802
876,02804
877,02806
878,02807
879,02808
880,02809
881,02812
882,02813
883,02814
884,02815
885,02816
886,02817
887,02818
888,02822
889,02823
890,02824
891,02825
892,02826
893,02827
894,02828
895,02829
896,02830
897,02831
898,02832
899,02833
900,02835
901,02836
902,02837
903,02838
904,02839
905,02840
906,02841
907,02842
908,02852
909,02857
910,02858
911,02859
912,02860
913,02861
914,02862
915,02863
916,02864
917,02865
918,02871
919,02872
920,02873
921,02874
922,02875
923,02876
924,02877
925,02878
926,02879
927,02880
928,02881
929,02882
930,02883
931,02885
932,02886
933,02887
934,02888
935,02889
936,02891
937,02892
938,02893
939,02894
940,02895
941,02896
942,02898
943,02901
944,02902
945,02903
946,02904
947,02905
948,02906
949,02907
950,02908
951,02909
952,02910
953,02911
954,02912
955,02914
956,02915
957,02916
958,02917
959,02918
960,02919
961,02920
962,02921
963,02940
964,03031
965,03032
966,03033
967,03034
968,03036
969,03037
970,03038
971,03040
972,03041
973,03042
974,03043
975,03044
976,03045
977,03046
978,03047
979,03048
980,03049
981,03051
982,03052
983,03053
984,03054
985,03055
986,03057
987,03060
988,03061
989,03062
990,03063
991,03064
992,03070
993,03071
994,03073
995,03076
996,03077
997,03079
998,03082
999,03084
1000,03086
1001,03087
1002,03101
1003,03102
1004,03103
1005,03104
1006,03105
1007,03106
1008,03108
1009,03109
1010,03110
1011,03111
1012,03215
1013,03216
1014,03217
1015,03218
1016,03220
1017,03221
1018,03222
1019,03223
1020,03224
1021,03225
1022,03226
1023,03227
1024,03229
1025,03230
1026,03231
1027,03233
1028,03234
1029,03235
1030,03237
1031,03238
1032,03240
1033,03241
1034,03242
1035,03243
1036,03244
1037,03245
1038,03246
1039,03247
1040,03249
1041,03251
1042,03252
1043,03253
1044,03254
1045,03255
1046,03256
1047,03257
1048,03258
1049,03259
1050,03260
1051,03261
1052,03262
1053,03263
1054,03264
1055,03266
1056,03268
1057,03269
1058,03272
1059,03273
1060,03275
1061,03276
1062,03278
1063,03279
1064,03280
1065,03281
1066,03282
1067,03284
1068,03285
1069,03287
1070,03289
1071,03290
1072,03291
1073,03293
1074,03298
1075,03299
1076,03301
1077,03302
1078,03303
1079,03304
1080,03305
1081,03307
1082,03431
1083,03435
1084,03440
1085,03441
1086,03442
1087,03443
1088,03444
1089,03445
1090,03446
1091,03447
1092,03448
1093,03449
1094,03450
1095,03451
1096,03452
1097,03455
1098,03456
1099,03457
1100,03458
1101,03461
1102,03462
1103,03464
1104,03465
1105,03466
1106,03467
1107,03468
1108,03469
1109,03470
1110,03561
1111,03570
1112,03574
1113,03575
1114,03576
1115,03579
1116,03580
1117,03581
1118,03582
1119,03583
1120,03584
1121,03585
1122,03586
1123,03588
1124,03589
1125,03590
1126,03592
1127,03593
1128,03595
1129,03597
1130,03598
1131,03601
1132,03602
1133,03603
1134,03604
1135,03605
1136,03607
1137,03608
1138,03609
1139,03740
1140,03741
1141,03743
1142,03745
1143,03746
1144,03748
1145,03749
1146,03750
1147,03751
1148,03752
1149,03753
1150,03754
1151,03755
1152,03756
1153,03765
1154,03766
1155,03768
1156,03769
1157,03770
1158,03771
1159,03773
1160,03774
1161,03777
1162,03779
1163,03780
1164,03781
1165,03782
1166,03784
1167,03785
1168,03801
1169,03802
1170,03803
1171,03804
1172,03809
1173,03810
1174,03811
1175,03812
1176,03813
1177,03814
1178,03815
1179,03816
1180,03817
1181,03818
1182,03819
1183,03820
1184,03821
1185,03822
1186,03823
1187,03824
1188,03825
1189,03826
1190,03827
1191,03830
1192,03832
1193,03833
1194,03835
1195,03836
1196,03837
1197,03838
1198,03839
1199,03840
1200,03841
1201,03842
1202,03843
1203,03844
1204,03845
1205,03846
1206,03847
1207,03848
1208,03849
1209,03850
1210,03851
1211,03852
1212,03853
1213,03854
1214,03855
1215,03856
1216,03857
1217,03858
1218,03859
1219,03860
1220,03861
1221,03862
1222,03864
1223,03865
1224,03866
1225,03867
1226,03868
1227,03869
1228,03870
1229,03871
1230,03872
1231,03873
1232,03874
1233,03875
1234,03878
1235,03882
1236,03883
1237,03884
1238,03885
1239,03886
1240,03887
1241,03890
1242,03894
1243,03896
1244,03897
1245,03901
1246,03902
1247,03903
1248,03904
1249,03905
1250,03906
1251,03907
1252,03908
1253,03909
1254,03910
1255,03911
1256,04001
1257,04002
1258,04003
1259,04004
1260,04005
1261,04006
1262,04007
1263,04008
1264,04009
1265,04010
1266,04011
1267,04013
1268,04014
1269,04015
1270,04016
1271,04017
1272,04019
1273,04020
1274,04021
1275,04022
1276,04024
1277,04027
1278,04028
1279,04029
1280,04030
1281,04032
1282,04033
1283,04034
1284,04037
1285,04038
1286,04039
1287,04040
1288,04041
1289,04042
1290,04043
1291,04046
1292,04047
1293,04048
1294,04049
1295,04050
1296,04051
1297,04054
1298,04055
1299,04056
1300,04057
1301,04061
1302,04062
1303,04063
1304,04064
1305,04066
1306,04068
1307,04069
1308,04070
1309,04071
1310,04072
1311,04073
1312,04074
1313,04076
1314,04077
1315,04078
1316,04079
1317,04082
1318,04083
1319,04084
1320,04085
1321,04086
1322,04087
1323,04088
1324,04090
1325,04091
1326,04092
1327,04093
1328,04094
1329,04095
1330,04096
1331,04097
1332,04098
1333,04101
1334,04102
1335,04103
1336,04104
1337,04105
1338,04106
1339,04107
1340,04108
1341,04109
1342,04110
1343,04112
1344,04116
1345,04122
1346,04123
1347,04124
1348,04210
1349,04211
1350,04212
1351,04216
1352,04217
1353,04219
1354,04220
1355,04221
1356,04222
1357,04223
1358,04224
1359,04225
1360,04226
1361,04227
1362,04228
1363,04230
1364,04231
1365,04234
1366,04236
1367,04237
1368,04238
1369,04239
1370,04240
1371,04241
1372,04243
1373,04250
1374,04252
1375,04253
1376,04254
1377,04255
1378,04256
1379,04257
1380,04258
1381,04259
1382,04260
1383,04261
1384,04262
1385,04263
1386,04265
1387,04266
1388,04267
1389,04268
1390,04270
1391,04271
1392,04274
1393,04275
1394,04276
1395,04280
1396,04281
1397,04282
1398,04284
1399,04285
1400,04286
1401,04287
1402,04288
1403,04289
1404,04290
1405,04291
1406,04292
1407,04294
1408,04330
1409,04332
1410,04333
1411,04336
1412,04338
1413,04341
1414,04342
1415,04343
1416,04344
1417,04345
1418,04346
1419,04347
1420,04348
1421,04349
1422,04350
1423,04351
1424,04352
1425,04353
1426,04354
1427,04355
1428,04357
1429,04358
1430,04359
1431,04360
1432,04363
1433,04364
1434,04401
1435,04402
1436,04406
1437,04408
1438,04410
1439,04411
1440,04412
1441,04413
1442,04414
1443,04415
1444,04416
1445,04417
1446,04418
1447,04419
1448,04420
1449,04421
1450,04422
1451,04424
1452,04426
1453,04427
1454,04428
1455,04429
1456,04430
1457,04431
1458,04434
1459,04435
1460,04438
1461,04441
1462,04442
1463,04443
1464,04444
1465,04448
1466,04449
1467,04450
1468,04451
1469,04453
1470,04454
1471,04455
1472,04456
1473,04457
1474,04459
1475,04460
1476,04461
1477,04462
1478,04463
1479,04464
1480,04468
1481,04469
1482,04471
1483,04472
1484,04473
1485,04474
1486,04475
1487,04476
1488,04478
1489,04479
1490,04481
1491,04485
1492,04487
1493,04488
1494,04489
1495,04490
1496,04491
1497,04492
1498,04493
1499,04495
1500,04496
1501,04497
